Username,Overall Comment,Conditional HW 2 (Advanced IF Statements) - J25  Comment,Conditional HW 1 (IF Statement) - J25 Comment,Chapter 4 HW (Automated Systems) - J25 Comment,Sequential & Conditional Classified (Week 4 Task) - J25  Comment
J25-EY1151,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1152,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,"Moderate performance, check your mistakes","Weak performance, you need to restudy the chapter and solve more questions from the classified","Submitted the weekly task, keep up the good work"
J25-EY1153,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,"Moderate performance, check your mistakes","You submitted late, make sure to submit your homework before the deadline on time","Submitted the weekly task, keep up the good work"
J25-EY1155,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY2206,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1158,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,"Weak performance, you need to restudy the chapter and solve more questions from the classified","Submitted the weekly task, keep up the good work"
J25-EY1159,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1160,You missed the following HW submissions: Chapter 4 HW Automated Systems,"Moderate performance, check your mistakes",Excellent performance,"Not Submitted, you need to submit your homework","Submitted the weekly task, keep up the good work"
J25-EY1161,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1162,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,"Weak performance, you need to restudy the chapter and solve more questions from the classified","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1163,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1164,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1165,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,"Moderate performance, check your mistakes","Submitted the weekly task, keep up the good work"
J25-EY1166,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1167,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1168,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1169,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,"Moderate performance, check your mistakes",Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1170,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1171,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","You submitted late, make sure to submit your homework before the deadline on time",Excellent performance,"Moderate performance, check your mistakes","Submitted the weekly task, keep up the good work"
J25-EY1172,You missed the following HW submissions: Chapter 4 HW Automated Systems,"You submitted late, make sure to submit your homework before the deadline on time",Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1173,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,"Moderate performance, check your mistakes","Weak performance, you need to write complete answer and you need to restudy the chapter and solve more questions from the classified","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1174,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,"Moderate performance, check your mistakes","Submitted the weekly task, keep up the good work"
J25-EY1175,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 2","Not Submitted, you need to submit your homework",Excellent performance,"Not Submitted, you need to submit your homework","Submitted the weekly task, keep up the good work"
J25-EY1178,You missed the following HW submissions: Chapter 4 HW Automated Systems,"You submitted late, make sure to submit your homework before the deadline on time","You submitted late, make sure to submit your homework before the deadline on time","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1179,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","Submitted the weekly task, keep up the good work"
J25-EY1180,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1181,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1182,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1183,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,"Moderate performance, check your mistakes","Not Submitted, you need to submit your homework","Submitted the weekly task, keep up the good work"
J25-EY1184,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1185,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","Moderate performance, check your mistakes","Moderate performance, check your mistakes",Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1186,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","Moderate performance, check your mistakes",Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1187,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1188,"You missed the following HW submissions: Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework",Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY2238,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1190,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1192,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1193,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1194,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,"Weak performance, you need to restudy the chapter and solve more questions from the classified","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1195,"You missed the following HW submissions: Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Weak performance, you need to restudy the chapter and solve more questions from the classified","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1196,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 2","Not Submitted, you need to submit your homework",Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1197,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","Moderate performance, check your mistakes","Moderate performance, check your mistakes","Weak performance, you need to restudy the chapter and solve more questions from the classified","Submitted the weekly task, keep up the good work"
J25-EY1198,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","Weak performance, you need to solve more questions and watch the explanantion video","Weak performance, you need to solve more questions and watch the explanantion video",Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1199,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1200,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1201,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 2","Not Submitted, you need to submit your homework",Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1202,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1","Weak performance, you need to solve more questions and watch the explanantion video","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1203,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","Moderate performance, check your mistakes","Weak performance, you need to solve more questions and watch the explanantion video","Weak performance, you need to restudy the chapter and solve more questions from the classified","Submitted the weekly task, keep up the good work"
J25-EY1206,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 2","Not Submitted, you need to submit your homework","Moderate performance, check your mistakes","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1207,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1208,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1209,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 2","Not Submitted, you need to submit your homework",Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1210,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1211,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,"Moderate performance, check your mistakes","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1212,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1213,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1",Excellent performance,"Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Submitted the weekly task, keep up the good work"
J25-EY1214,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1215,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1216,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
